time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-04 00:00:00+00:00,160,70,164,41
2022-06-05 00:00:00+00:00,196,83,175,63
2022-06-06 00:00:00+00:00,388,94,693,100
2022-06-07 00:00:00+00:00,399,118,690,106
2022-06-08 00:00:00+00:00,295,99,652,125
2022-06-09 00:00:00+00:00,749,133,667,105
2022-06-10 00:00:00+00:00,725,119,829,100
2022-06-11 00:00:00+00:00,374,109,165,48
2022-06-12 00:00:00+00:00,210,100,219,60
2022-06-13 00:00:00+00:00,300,100,687,104
2022-06-14 00:00:00+00:00,347,129,680,100
2022-06-15 00:00:00+00:00,335,107,316,75
2022-06-16 00:00:00+00:00,467,112,338,88
2022-06-17 00:00:00+00:00,257,88,377,68
