time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-25 00:00:00+00:00,302,96,556,137
2022-03-26 00:00:00+00:00,201,83,266,105
2022-03-27 00:00:00+00:00,135,77,236,120
2022-03-28 00:00:00+00:00,242,92,772,168
2022-03-29 00:00:00+00:00,574,138,1011,173
2022-03-30 00:00:00+00:00,282,101,883,173
2022-03-31 00:00:00+00:00,214,92,723,157
2022-04-01 00:00:00+00:00,255,79,721,148
2022-04-02 00:00:00+00:00,96,55,240,92
2022-04-03 00:00:00+00:00,101,69,257,98
2022-04-04 00:00:00+00:00,138,77,680,162
2022-04-05 00:00:00+00:00,232,75,868,145
2022-04-06 00:00:00+00:00,475,110,700,153
2022-04-07 00:00:00+00:00,427,135,844,146
2022-04-08 00:00:00+00:00,361,106,778,167
2022-04-09 00:00:00+00:00,270,109,413,123
2022-04-10 00:00:00+00:00,674,108,1125,123
2022-04-11 00:00:00+00:00,892,142,1708,198
2022-04-12 00:00:00+00:00,937,186,1276,228
2022-04-13 00:00:00+00:00,1536,199,1839,258
2022-04-14 00:00:00+00:00,999,185,1167,198
2022-04-15 00:00:00+00:00,1026,160,977,169
2022-04-16 00:00:00+00:00,546,124,364,96
2022-04-17 00:00:00+00:00,360,110,332,86
2022-04-18 00:00:00+00:00,479,141,946,124
2022-04-19 00:00:00+00:00,945,189,1422,204
2022-04-20 00:00:00+00:00,650,158,1151,175
2022-04-21 00:00:00+00:00,396,108,777,150
2022-04-22 00:00:00+00:00,340,93,877,121
2022-04-23 00:00:00+00:00,263,80,266,63
2022-04-24 00:00:00+00:00,256,77,329,82
2022-04-25 00:00:00+00:00,373,122,1363,135
2022-04-26 00:00:00+00:00,432,121,1153,150
2022-04-27 00:00:00+00:00,783,147,995,170
2022-04-28 00:00:00+00:00,535,101,1048,125
2022-04-29 00:00:00+00:00,253,99,591,143
2022-04-30 00:00:00+00:00,173,76,402,82
2022-05-01 00:00:00+00:00,174,62,260,79
2022-05-02 00:00:00+00:00,339,77,802,141
2022-05-03 00:00:00+00:00,289,99,616,139
2022-05-04 00:00:00+00:00,324,94,533,132
2022-05-05 00:00:00+00:00,420,100,681,125
2022-05-06 00:00:00+00:00,465,91,838,136
2022-05-07 00:00:00+00:00,172,70,329,83
2022-05-08 00:00:00+00:00,203,80,532,83
2022-05-09 00:00:00+00:00,383,108,904,147
2022-05-10 00:00:00+00:00,730,114,1132,148
2022-05-11 00:00:00+00:00,442,122,1227,187
2022-05-12 00:00:00+00:00,512,112,659,159
2022-05-13 00:00:00+00:00,397,103,653,134
2022-05-14 00:00:00+00:00,390,101,414,106
2022-05-15 00:00:00+00:00,369,107,486,98
2022-05-16 00:00:00+00:00,1036,137,1507,201
2022-05-17 00:00:00+00:00,1070,131,1247,169
2022-05-18 00:00:00+00:00,656,131,1014,152
2022-05-19 00:00:00+00:00,579,145,780,158
2022-05-20 00:00:00+00:00,381,103,470,130
2022-05-21 00:00:00+00:00,212,86,192,68
2022-05-22 00:00:00+00:00,252,95,405,81
2022-05-23 00:00:00+00:00,644,144,681,117
2022-05-24 00:00:00+00:00,334,126,426,120
2022-05-25 00:00:00+00:00,634,153,644,130
2022-05-26 00:00:00+00:00,365,97,470,119
2022-05-27 00:00:00+00:00,370,106,386,89
2022-05-28 00:00:00+00:00,307,104,450,65
2022-05-29 00:00:00+00:00,443,126,355,78
2022-05-30 00:00:00+00:00,390,115,656,106
2022-05-31 00:00:00+00:00,346,118,724,115
2022-06-01 00:00:00+00:00,1040,101,417,90
2022-06-02 00:00:00+00:00,963,109,649,92
2022-06-03 00:00:00+00:00,996,116,511,86
2022-06-04 00:00:00+00:00,160,70,164,41
2022-06-05 00:00:00+00:00,196,83,175,63
2022-06-06 00:00:00+00:00,388,94,693,100
2022-06-07 00:00:00+00:00,399,118,690,106
2022-06-08 00:00:00+00:00,295,99,652,125
2022-06-09 00:00:00+00:00,749,133,667,105
2022-06-10 00:00:00+00:00,725,119,829,100
2022-06-11 00:00:00+00:00,374,109,165,48
2022-06-12 00:00:00+00:00,210,100,219,60
2022-06-13 00:00:00+00:00,300,100,687,104
2022-06-14 00:00:00+00:00,347,129,680,100
2022-06-15 00:00:00+00:00,335,107,316,75
2022-06-16 00:00:00+00:00,467,112,338,88
2022-06-17 00:00:00+00:00,270,91,410,70
2022-06-18 00:00:00+00:00,145,65,120,35
2022-06-19 00:00:00+00:00,183,83,194,51
2022-06-20 00:00:00+00:00,188,84,394,97
2022-06-21 00:00:00+00:00,279,112,292,87
