time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-02 00:00:00+00:00,294,97,281,67
2022-07-03 00:00:00+00:00,382,117,304,57
2022-07-04 00:00:00+00:00,644,129,598,113
2022-07-05 00:00:00+00:00,519,142,449,112
2022-07-06 00:00:00+00:00,381,132,336,92
2022-07-07 00:00:00+00:00,284,117,389,92
2022-07-08 00:00:00+00:00,260,110,390,80
2022-07-09 00:00:00+00:00,414,138,331,61
2022-07-10 00:00:00+00:00,354,118,235,58
2022-07-11 00:00:00+00:00,371,124,595,104
2022-07-12 00:00:00+00:00,905,164,593,96
2022-07-13 00:00:00+00:00,423,127,655,106
2022-07-14 00:00:00+00:00,365,124,351,90
2022-07-15 00:00:00+00:00,457,137,356,72
