time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-10 00:00:00+00:00,725,119,829,100
2022-06-11 00:00:00+00:00,374,109,165,48
2022-06-12 00:00:00+00:00,210,100,219,60
2022-06-13 00:00:00+00:00,300,100,687,104
2022-06-14 00:00:00+00:00,347,129,680,100
2022-06-15 00:00:00+00:00,335,107,316,75
2022-06-16 00:00:00+00:00,467,112,338,88
2022-06-17 00:00:00+00:00,270,91,410,70
2022-06-18 00:00:00+00:00,145,65,120,35
2022-06-19 00:00:00+00:00,183,83,194,51
2022-06-20 00:00:00+00:00,188,84,394,97
2022-06-21 00:00:00+00:00,317,116,338,90
2022-06-22 00:00:00+00:00,359,130,530,91
2022-06-23 00:00:00+00:00,780,152,876,130
2022-06-24 00:00:00+00:00,651,139,474,90
2022-06-25 00:00:00+00:00,376,102,192,34
2022-06-26 00:00:00+00:00,269,89,225,54
2022-06-27 00:00:00+00:00,364,130,390,94
2022-06-28 00:00:00+00:00,398,133,434,78
